,Company,Model,Year,Price in Lak,Fuel,Kilometer,City,EMIstarts
0,Toyota,Innova 2,2013,7.85,Diesel,"1,89",Mumbai,"₹13,036"
1,Hyundai,Verna 1,2018,7.5,Petrol,"16,339",Kolkata,"₹12,455"
2,Volkswagen,Ameo Highline,2016,6.5,Diesel,"68,962",Jalgaon,
3,BMW,7 Series,2011,15.9,Diesel,"75,000",Lucknow,
4,Maruti,Suzuki Swift,2014,4.4,Petrol,"32,682",Mumbai,"₹7,306"
5,Chevrolet,Spark LS,2013,1.75,Petrol,"66,000",Lucknow,"₹2,906"
6,Maruti,Suzuki Ertiga,2017,,CNG,"83,226",Mumbai,"₹13,285"
7,MG,ZS EV,2020,,Electric,"68,894",Mumbai,"₹31,552"
8,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
9,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
10,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
11,Hyundai,Creta E,2019,11.5,Diesel,"14,941",Pune,"₹19,097"
12,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
13,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
14,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
15,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
16,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
17,Maruti,Suzuki Vitara,2017,6.7,Diesel,"78,184",Delhi,"₹11,126"
18,Renault,Kwid RXT,2021,4.15,Petrol,"3,436",Kanpur,"₹6,891"
19,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
20,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
21,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
22,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
23,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
24,Hyundai,Grand i10,2018,4.75,Petrol,"40,699",Lucknow,"₹7,888"
25,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
26,Toyota,Innova Crysta,2021,,Diesel,"19,742",Mumbai,"₹51,480"
27,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
28,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
29,Maruti,Suzuki Swift,2017,6.25,Diesel,"24,982",Mumbai,"₹10,379"
30,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
31,Hyundai,Elite i20,2017,6.11,Petrol,"51,349",Nagpur,"₹10,146"
32,Maruti,Suzuki Swift,2019,7.85,Petrol,"32,516",Bangalore,"₹13,036"
33,Volvo,V40 D3,2015,,Diesel,"50,965",Kolkata,"₹19,928"
34,Mercedes,Benz GLE,2018,,Diesel,"43,000",Mumbai,"₹83,033"
35,Audi,A6 2,2013,,Diesel,"70,143",Chennai,
36,Honda,City V,2015,6.5,Petrol,"98,000",Panchkula,"₹10,794"
37,MG,Gloster Savvy,2021,,Diesel,"29,699",Hyderabad,"₹63,105"
38,Maruti,Suzuki Swift,2015,5.45,Diesel,"49,000",Mumbai,"₹9,050"
39,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
40,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
41,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
42,Hyundai,Creta E,2019,11.5,Diesel,"14,941",Pune,"₹19,097"
43,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
44,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
45,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
46,Hyundai,Verna 1,2018,7.5,Petrol,"16,339",Kolkata,"₹12,455"
47,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
48,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
49,Honda,City VX,2016,7.9,Petrol,"68,085",Pune,"₹13,119"
50,Volkswagen,Ameo Highline1,2018,6.9,Diesel,"74,290",Pune,"₹11,458"
51,Maruti,Suzuki Celerio,2022,5.95,Petrol,"12,290",Pune,"₹9,880"
52,Maruti,Suzuki Wagon,2018,4.75,CNG,"89,739",Pune,"₹7,888"
53,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
54,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
55,Toyota,Innova Crysta,2021,,Diesel,"19,742",Mumbai,"₹51,480"
56,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
57,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
58,Maruti,Suzuki Swift,2017,6.25,Diesel,"24,982",Mumbai,"₹10,379"
59,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
60,Maruti,Suzuki Vitara,2017,6.7,Diesel,"78,184",Delhi,"₹11,126"
61,Renault,Kwid RXT,2021,4.15,Petrol,"3,436",Kanpur,"₹6,891"
62,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
63,Volkswagen,Ameo Highline,2016,6.5,Diesel,"68,962",Jalgaon,
64,Maruti,Suzuki Swift,2015,5.45,Diesel,"49,000",Mumbai,"₹9,050"
65,BMW,5 Series,2017,,Diesel,"13,687",Mumbai,"₹81,372"
66,Hyundai,Verna 1,2019,9.2,Diesel,"65,094",Kolkata,"₹15,278"
67,MINI,Countryman Cooper,2021,40.95,Petrol,"9,700",Indore,"₹68,004"
68,Mercedes,Benz G,2017,1.55,Petrol,"49,000",Gurgaon,₹2.57 L
69,Maruti,Suzuki Dzire,2019,6.25,Petrol,"27,385",Mumbai,
70,BMW,X1 sDrive20,2013,17.75,Diesel,"33,000",Bangalore,"₹29,476"
71,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
72,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
73,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
74,Hyundai,Creta E,2019,11.5,Diesel,"14,941",Pune,"₹19,097"
75,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
76,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
77,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
78,Hyundai,Verna 1,2018,7.5,Petrol,"16,339",Kolkata,"₹12,455"
79,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
80,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
81,Maruti,Suzuki Vitara,2017,6.7,Diesel,"78,184",Delhi,"₹11,126"
82,Renault,Kwid RXT,2021,4.15,Petrol,"3,436",Kanpur,"₹6,891"
83,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
84,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
85,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
86,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
87,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
88,Hyundai,Grand i10,2018,4.75,Petrol,"40,699",Lucknow,"₹7,888"
89,Toyota,Innova Crysta,2021,,Diesel,"19,742",Mumbai,"₹51,480"
90,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
91,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
92,Maruti,Suzuki Swift,2017,6.25,Diesel,"24,982",Mumbai,"₹10,379"
93,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
94,MINI,Cooper,2021,,Petrol,"11,725",Mumbai,"₹69,748"
95,Ford,Figo Duratorq,2013,2.99,Diesel,"64,983",Mumbai,"₹4,965"
96,Maruti,Suzuki Ciaz,2019,10.75,Petrol,"30,672",Bangalore,"₹17,852"
97,Maruti,Suzuki Swift,2019,7.85,Petrol,"32,516",Bangalore,"₹13,036"
98,Maruti,Suzuki Alto,2010,2.3,Petrol,"79,000",Mohali,
99,Toyota,Fortuner 2,2016,,Diesel,"1,06",Mumbai,"₹49,820"
100,Maruti,Suzuki Swift,2021,7.65,Petrol,"10,906",Thane,"₹12,704"
101,Tata,Tigor Revotron,2019,4.99,Petrol,"54,299",Ranchi,"₹8,286"
102,Maruti,Suzuki Swift,2017,5.95,Diesel,"65,000",Delhi,"₹9,880"
103,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
104,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
105,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
106,Hyundai,Creta E,2019,11.5,Diesel,"14,941",Pune,"₹19,097"
107,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
108,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
109,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
110,Hyundai,Verna 1,2018,7.5,Petrol,"16,339",Kolkata,"₹12,455"
111,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
112,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
113,Hyundai,Verna Fluidic,2013,5.7,Diesel,"79,592",Lucknow,"₹9,465"
114,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
115,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
116,Maruti,Suzuki Vitara,2017,6.7,Diesel,"78,184",Delhi,"₹11,126"
117,Renault,Kwid RXT,2021,4.15,Petrol,"3,436",Kanpur,"₹6,891"
118,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
119,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
120,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
121,Hyundai,Grand i10,2018,4.75,Petrol,"40,699",Lucknow,"₹7,888"
122,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
123,Toyota,Innova Crysta,2021,,Diesel,"19,742",Mumbai,"₹51,480"
124,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
125,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
126,Maruti,Suzuki Swift,2017,6.25,Diesel,"24,982",Mumbai,"₹10,379"
127,Honda,City V,2017,7.5,Petrol,"70,000",Jaipur,"₹12,455"
128,Mahindra,XUV500 W,2016,8.5,Diesel,"1,14",Lucknow,"₹14,115"
129,Mercedes,Benz CLA,2018,31.5,Diesel,"23,000",Mumbai,"₹52,311"
130,Kia,Carnival Limousine,2021,33.5,Diesel,"30,000",Gurgaon,"₹55,632"
131,Maruti,Suzuki Estilo,2014,2.6,Petrol,"58,000",Mumbai,"₹4,317"
132,Volvo,V40 D3,2015,,Diesel,"50,965",Kolkata,"₹19,928"
133,Toyota,Fortuner 3,2015,19.75,Diesel,"99,000",Mumbai,"₹32,798"
134,Mahindra,Bolero Power,2018,8.5,Diesel,"66,000",Jaipur,"₹14,115"
135,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
136,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
137,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
138,Hyundai,Creta E,2019,11.5,Diesel,"14,941",Pune,"₹19,097"
139,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
140,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
141,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
142,Hyundai,Verna 1,2018,7.5,Petrol,"16,339",Kolkata,"₹12,455"
143,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
144,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
145,Maruti,Suzuki Vitara,2017,6.7,Diesel,"78,184",Delhi,"₹11,126"
146,Renault,Kwid RXT,2021,4.15,Petrol,"3,436",Kanpur,"₹6,891"
147,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
148,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
149,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
150,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
151,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
152,Hyundai,Grand i10,2018,4.75,Petrol,"40,699",Lucknow,"₹7,888"
153,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
154,Toyota,Innova Crysta,2021,,Diesel,"19,742",Mumbai,"₹51,480"
155,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
156,Hyundai,Creta SX,2018,11.9,Petrol,"50,824",Mumbai,"₹19,761"
157,Maruti,Suzuki Swift,2017,6.25,Diesel,"24,982",Mumbai,"₹10,379"
158,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
159,Maruti,Suzuki Dzire,2017,6.99,Petrol,"30,989",Mangalore,"₹11,608"
160,BMW,5 Series,2017,32.95,Diesel,"56,500",Mumbai,
161,Jaguar,XJ L,2017,,Diesel,"31,000",Pune,"₹96,318"
162,Chevrolet,Beat LT,2011,1.75,Petrol,"42,000",Patna,
163,BMW,7 Series,2012,27.5,Diesel,"41,000",Mumbai,
164,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
165,Mercedes,Benz E,2012,13.99,Diesel,"55,000",Pune,
166,Toyota,Innova Crysta,2018,18.31,Diesel,"77,000",Delhi,"₹30,406"
167,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
168,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
169,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
170,Hyundai,Creta E,2019,11.5,Diesel,"14,941",Pune,"₹19,097"
171,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
172,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
173,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
174,Hyundai,Verna 1,2018,7.5,Petrol,"16,339",Kolkata,"₹12,455"
175,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
176,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
177,MINI,Cooper,2021,,Petrol,"11,725",Mumbai,"₹69,748"
178,Honda,City VX,2016,7.9,Petrol,"68,085",Pune,"₹13,119"
179,Volkswagen,Ameo Highline1,2018,6.9,Diesel,"74,290",Pune,"₹11,458"
180,Maruti,Suzuki Celerio,2022,5.95,Petrol,"12,290",Pune,"₹9,880"
181,Maruti,Suzuki Wagon,2018,4.75,CNG,"89,739",Pune,"₹7,888"
182,Maruti,Suzuki Vitara,2019,8.7,Diesel,"44,091",Pune,"₹14,447"
183,Maruti,Suzuki Vitara,2017,6.7,Diesel,"78,184",Delhi,"₹11,126"
184,Renault,Kwid RXT,2021,4.15,Petrol,"3,436",Kanpur,"₹6,891"
185,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
186,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
187,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
188,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
189,Hyundai,Grand i10,2018,4.75,Petrol,"40,699",Lucknow,"₹7,888"
190,Jeep,Compass Limited,2019,17.45,Petrol,"46,000",Mumbai,"₹28,978"
191,BMW,6 Series,2019,53.75,Petrol,"32,000",Mumbai,"₹89,260"
192,Mercedes,Benz C,2019,33.5,Petrol,"50,701",Mumbai,"₹55,632"
193,Hyundai,i10 Sportz,2009,2.15,Petrol,"57,000",Kanpur,
194,Hyundai,Grand i10,2020,7.3,Petrol,"7,230",Mumbai,"₹12,122"
195,Mahindra,Scorpio SLE,2014,,Diesel,"78,000",Gurgaon,"₹6,642"
196,Mercedes,Benz E,2022,,Diesel,"11,000",Delhi,
197,Maruti,Suzuki Swift,2016,5.45,Diesel,"67,226",Kanpur,"₹9,050"
198,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
199,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
200,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
201,Hyundai,Creta E,2019,11.5,Diesel,"14,941",Pune,"₹19,097"
202,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
203,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
204,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
205,Hyundai,Verna 1,2018,7.5,Petrol,"16,339",Kolkata,"₹12,455"
